rank,city,state,population,2000-2013 growth
1,New York,New York,8405837,4.8%
2,Los Angeles,California,3884307,4.8%
3,Chicago,Illinois,2718782,-6.1%
4,Houston,Texas,2195914,11.0%
5,Philadelphia,Pennsylvania,1553165,2.6%
6,Phoenix,Arizona,1513367,14.0%
7,San Antonio,Texas,1409019,21.0%
8,San Diego,California,1355896,10.5%
9,Dallas,Texas,1257676,5.6%
10,San Jose,California,998537,10.5%
11,Austin,Texas,885400,31.7%
12,Indianapolis,Indiana,843393,7.8%
13,Jacksonville,Florida,842583,14.3%
14,San Francisco,California,837442,7.7%
15,Columbus,Ohio,822553,14.8%
16,Charlotte,North Carolina,792862,39.1%
17,Fort Worth,Texas,792727,45.1%
18,Detroit,Michigan,688701,-27.1%
19,El Paso,Texas,674433,19.4%
20,Memphis,Tennessee,653450,-5.3%
21,Seattle,Washington,652405,15.6%
22,Denver,Colorado,649495,16.7%
23,Washington,District of Columbia,646449,13.0%
24,Boston,Massachusetts,645966,9.4%
25,Nashville-Davidson,Tennessee,634464,16.2%
26,Baltimore,Maryland,622104,-4.0%
27,Oklahoma City,Oklahoma,610613,20.2%
28,Louisville/Jefferson County,Kentucky,609893,10.0%
29,Portland,Oregon,609456,15.0%
30,Las Vegas,Nevada,603488,24.5%
31,Milwaukee,Wisconsin,599164,0.3%
32,Albuquerque,New Mexico,556495,23.5%
33,Tucson,Arizona,526116,7.5%
34,Fresno,California,509924,18.3%
35,Sacramento,California,479686,17.2%
36,Long Beach,California,469428,1.5%
37,Kansas City,Missouri,467007,5.5%
38,Mesa,Arizona,457587,13.5%
39,Virginia Beach,Virginia,448479,5.1%
40,Atlanta,Georgia,447841,6.2%
41,Colorado Springs,Colorado,439886,21.4%
42,Omaha,Nebraska,434353,5.9%
43,Raleigh,North Carolina,431746,48.7%
44,Miami,Florida,417650,14.9%
45,Oakland,California,406253,1.3%
46,Minneapolis,Minnesota,400070,4.5%
47,Tulsa,Oklahoma,398121,1.3%
48,Cleveland,Ohio,390113,-18.1%
49,Wichita,Kansas,386552,9.7%
50,Arlington,Texas,379577,13.3%
51,New Orleans,Louisiana,378715,-21.6%
52,Bakersfield,California,363630,48.4%
53,Tampa,Florida,352957,16.0%
54,Honolulu,Hawaii,347884,-6.2%
55,Aurora,Colorado,345803,24.4%
56,Anaheim,California,345012,4.7%
57,Santa Ana,California,334227,-1.2%
58,St. Louis,Missouri,318416,-8.2%
59,Riverside,California,316619,22.5%
60,Corpus Christi,Texas,316381,14.1%
61,Lexington-Fayette,Kentucky,308428,18.0%
62,Pittsburgh,Pennsylvania,305841,-8.3%
63,Anchorage,Alaska,300950,15.4%
64,Stockton,California,298118,21.8%
65,Cincinnati,Ohio,297517,-10.1%
66,St. Paul,Minnesota,294873,2.8%
67,Toledo,Ohio,282313,-10.0%
68,Greensboro,North Carolina,279639,22.3%
69,Newark,New Jersey,278427,2.1%
70,Plano,Texas,274409,22.4%
71,Henderson,Nevada,270811,51.0%
72,Lincoln,Nebraska,268738,18.0%
73,Buffalo,New York,258959,-11.3%
74,Jersey City,New Jersey,257342,7.2%
75,Chula Vista,California,256780,46.2%
76,Fort Wayne,Indiana,256496,1.0%
77,Orlando,Florida,255483,31.2%
78,St. Petersburg,Florida,249688,0.3%
79,Chandler,Arizona,249146,38.7%
80,Laredo,Texas,248142,38.2%
81,Norfolk,Virginia,246139,5.0%
82,Durham,North Carolina,245475,29.9%
83,Madison,Wisconsin,243344,15.8%
84,Lubbock,Texas,239538,19.6%
85,Irvine,California,236716,61.3%
86,Winston-Salem,North Carolina,236441,16.9%
87,Glendale,Arizona,234632,5.7%
88,Garland,Texas,234566,8.5%
89,Hialeah,Florida,233394,3.2%
90,Reno,Nevada,233294,26.8%
91,Chesapeake,Virginia,230571,15.1%
92,Gilbert,Arizona,229972,96.0%
93,Baton Rouge,Louisiana,229426,0.4%
94,Irving,Texas,228653,19.1%
95,Scottsdale,Arizona,226918,11.0%
96,North Las Vegas,Nevada,226877,92.2%
97,Fremont,California,224922,10.0%
98,Boise City,Idaho,214237,9.5%
99,Richmond,Virginia,214114,8.2%
100,San Bernardino,California,213708,13.0%
101,Birmingham,Alabama,212113,-12.3%
102,Spokane,Washington,210721,7.0%
103,Rochester,New York,210358,-4.1%
104,Des Moines,Iowa,207510,3.9%
105,Modesto,California,204933,7.7%
106,Fayetteville,North Carolina,204408,2.4%
107,Tacoma,Washington,203446,4.9%
108,Oxnard,California,203007,18.2%
109,Fontana,California,203003,38.3%
110,Columbus,Georgia,202824,8.7%
111,Montgomery,Alabama,201332,-0.1%
112,Moreno Valley,California,201175,40.4%
113,Shreveport,Louisiana,200327,-0.1%
114,Aurora,Illinois,199963,38.4%
115,Yonkers,New York,199766,1.8%
116,Akron,Ohio,198100,-8.6%
117,Huntington Beach,California,197575,3.9%
118,Little Rock,Arkansas,197357,7.6%
119,Augusta-Richmond County,Georgia,197350,1.1%
120,Amarillo,Texas,196429,12.8%
121,Glendale,California,196021,0.3%
122,Mobile,Alabama,194899,-1.9%
123,Grand Rapids,Michigan,192294,-2.8%
124,Salt Lake City,Utah,191180,5.1%
125,Tallahassee,Florida,186411,21.8%
126,Huntsville,Alabama,186254,16.3%
127,Grand Prairie,Texas,183372,43.1%
128,Knoxville,Tennessee,183270,3.9%
129,Worcester,Massachusetts,182544,5.8%
130,Newport News,Virginia,182020,0.9%
131,Brownsville,Texas,181860,26.8%
132,Overland Park,Kansas,181260,19.4%
133,Santa Clarita,California,179590,15.3%
134,Providence,Rhode Island,177994,2.3%
135,Garden Grove,California,175140,5.8%
136,Chattanooga,Tennessee,173366,10.5%
